Vocab size: 8,192
Model config: {'sequence_len': 512, 'vocab_size': 8192, 'n_layer': 6, 'n_head': 3, 'n_kv_head': 3, 'n_embd': 384, 'window_pattern': 'L'}
Parameter counts:
  wte                     : 3,145,728
  value_embeds            : 9,437,184
  lm_head                 : 3,145,728
  transformer_matrices    : 10,617,120
  scalars                 : 12
  total                   : 26,345,772
Estimated FLOPs per token: 9.673286e+07
Scaling AdamW LRs by 1/sqrt(384/768) = 1.414214
Time budget: 300s
Gradient accumulation steps: 8

step 00000 (0.0%) | loss: 9.011256 | lrm: 1.00 | dt: 5818ms | tok/sec: 5,632 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 9.108601 | lrm: 1.00 | dt: 324ms | tok/sec: 101,144 | mfu: 1.0% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.996832 | lrm: 1.00 | dt: 326ms | tok/sec: 100,669 | mfu: 1.0% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.704878 | lrm: 1.00 | dt: 328ms | tok/sec: 99,959 | mfu: 1.0% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 8.410487 | lrm: 1.00 | dt: 326ms | tok/sec: 100,625 | mfu: 1.0% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 8.179275 | lrm: 1.00 | dt: 326ms | tok/sec: 100,397 | mfu: 1.0% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.983884 | lrm: 1.00 | dt: 327ms | tok/sec: 100,118 | mfu: 1.0% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 7.812600 | lrm: 1.00 | dt: 326ms | tok/sec: 100,411 | mfu: 1.0% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 7.658881 | lrm: 1.00 | dt: 326ms | tok/sec: 100,643 | mfu: 1.0% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 7.483823 | lrm: 1.00 | dt: 327ms | tok/sec: 100,262 | mfu: 1.0% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 7.360716 | lrm: 1.00 | dt: 326ms | tok/sec: 100,389 | mfu: 1.0% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 7.241413 | lrm: 1.00 | dt: 327ms | tok/sec: 100,324 | mfu: 1.0% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 7.114148 | lrm: 1.00 | dt: 351ms | tok/sec: 93,436 | mfu: 0.9% | epoch: 1 | remaining: 299s    
step 00013 (0.2%) | loss: 7.007884 | lrm: 1.00 | dt: 325ms | tok/sec: 100,722 | mfu: 1.0% | epoch: 1 | remaining: 299s    
step 00014 (0.3%) | loss: 6.921473 | lrm: 1.00 | dt: 327ms | tok/sec: 100,361 | mfu: 1.0% | epoch: 1 | remaining: 299s    
step 00015 (0.4%) | loss: 6.829445 | lrm: 1.00 | dt: 339ms | tok/sec: 96,605 | mfu: 0.9% | epoch: 1 | remaining: 298s    
step 00016 (0.6%) | loss: 6.732661 | lrm: 1.00 | dt: 326ms | tok/sec: 100,542 | mfu: 1.0% | epoch: 1 | remaining: 298s    
step 00017 (0.7%) | loss: 6.673804 | lrm: 1.00 | dt: 326ms | tok/sec: 100,384 | mfu: 1.0% | epoch: 1 | remaining: 298s    
step 00018 (0.8%) | loss: 6.585635 | lrm: 1.00 | dt: 327ms | tok/sec: 100,274 | mfu: 1.0% | epoch: 1 | remaining: 297s    
step 00019 (0.9%) | loss: 6.528288 | lrm: 1.00 | dt: 326ms | tok/sec: 100,547 | mfu: 1.0% | epoch: 1 | remaining: 297s    
step 00020 (1.0%) | loss: 6.463009 | lrm: 1.00 | dt: 327ms | tok/sec: 100,259 | mfu: 1.0% | epoch: 1 | remaining: 297s    
step 00021 (1.1%) | loss: 6.406160 | lrm: 1.00 | dt: 327ms | tok/sec: 100,336 | mfu: 1.0% | epoch: 1 | remaining: 296s    
step 00022 (1.2%) | loss: 6.373740 | lrm: 1.00 | dt: 326ms | tok/sec: 100,447 | mfu: 1.0% | epoch: 1 | remaining: 296s    
step 00023 (1.3%) | loss: 6.331079 | lrm: 1.00 | dt: 327ms | tok/sec: 100,246 | mfu: 1.0% | epoch: 1 | remaining: 296s    
step 00024 (1.4%) | loss: 6.270790 | lrm: 1.00 | dt: 327ms | tok/sec: 100,175 | mfu: 1.0% | epoch: 1 | remaining: 295s    
step 00025 (1.5%) | loss: 6.218333 | lrm: 1.00 | dt: 327ms | tok/sec: 100,139 | mfu: 1.0% | epoch: 1 | remaining: 295s    
step 00026 (1.6%) | loss: 6.176594 | lrm: 1.00 | dt: 327ms | tok/sec: 100,199 | mfu: 1.0% | epoch: 1 | remaining: 295s    
step 00027 (1.8%) | loss: 6.143204 | lrm: 1.00 | dt: 327ms | tok/sec: 100,147 | mfu: 1.0% | epoch: 1 | remaining: 294s    
step 00028 (1.9%) | loss: 6.131613 | lrm: 1.00 | dt: 327ms | tok/sec: 100,209 | mfu: 1.0% | epoch: 1 | remaining: 294s    
step 00029 (2.0%) | loss: 6.096607 | lrm: 1.00 | dt: 327ms | tok/sec: 100,203 | mfu: 1.0% | epoch: 1 | remaining: 294s    
step 00030 (2.1%) | loss: 6.069684 | lrm: 1.00 | dt: 327ms | tok/sec: 100,237 | mfu: 1.0% | epoch: 1 | remaining: 293s    
step 00031 (2.2%) | loss: 6.026861 | lrm: 1.00 | dt: 327ms | tok/sec: 100,151 | mfu: 1.0% | epoch: 1 | remaining: 293s    
step 00032 (2.3%) | loss: 5.985463 | lrm: 1.00 | dt: 327ms | tok/sec: 100,220 | mfu: 1.0% | epoch: 1 | remaining: 293s    
step 00033 (2.4%) | loss: 5.970157 | lrm: 1.00 | dt: 327ms | tok/sec: 100,139 | mfu: 1.0% | epoch: 1 | remaining: 292s    
step 00034 (2.5%) | loss: 5.945728 | lrm: 1.00 | dt: 327ms | tok/sec: 100,230 | mfu: 1.0% | epoch: 1 | remaining: 292s    
